location,total_cases,total_deaths
Chile,223877.87772925766,0
Turkey,188327.03636363638,0
Italy,172628.75170068027,22667.431972789116
Iraq,85987.52380952382,2531.4727891156463
China,73579.3163265306,0
Kazakhstan,59705.262443438914,730.6787330316743
Israel,55110.45578231292,429.5170068027211
Poland,40524.81140350877,0
Kuwait,36129.948979591834,235.04761904761904
Honduras,29752.26818181818,0
